id,target
0,0
2,0
3,1
9,0
11,0
12,0
21,0
22,0
27,0
29,0
30,0
35,0
42,1
43,1
45,1
46,0
47,0
51,0
58,0
60,0
69,0
70,0
72,0
75,0
84,1
87,0
88,1
90,0
94,0
99,0
101,1
103,1
106,1
108,0
111,0
115,0
116,1
122,0
123,0
124,0
125,0
127,0
140,0
142,1
147,1
148,1
150,1
152,0
154,0
155,0
166,0
167,1
169,0
177,1
179,0
181,0
186,1
188,0
189,0
192,0
200,1
202,0
206,0
207,0
214,0
217,0
223,0
224,1
227,1
228,1
230,0
233,0
234,0
236,0
239,0
250,0
255,0
257,1
259,0
275,0
278,0
282,0
284,0
286,0
288,0
292,0
295,0
300,0
304,0
305,0
306,0
308,0
311,0
317,0
319,1
323,0
324,1
325,0
326,0
333,0
339,0
342,1
343,0
350,0
351,0
357,0
359,0
362,0
366,0
367,1
369,0
373,0
374,0
376,0
377,0
378,0
379,0
382,1
385,0
387,0
388,0
391,0
392,0
395,0
399,0
400,0
403,0
405,0
408,0
411,1
414,0
416,0
417,0
422,1
425,0
428,0
430,0
431,0
433,0
434,0
439,1
441,0
449,0
458,0
460,0
464,1
473,0
488,0
491,0
494,0
497,0
500,0
505,0
507,1
508,0
510,0
511,0
515,0
525,0
529,0
532,0
534,1
537,0
539,0
541,0
545,0
547,0
548,1
549,0
553,0
554,1
555,0
557,0
562,1
566,1
572,1
573,0
582,0
586,1
587,0
590,0
591,0
593,0
595,0
596,0
597,1
601,1
602,0
605,1
610,1
616,0
618,0
620,0
626,0
627,1
629,1
632,0
634,0
639,1
645,0
647,0
648,0
650,0
663,0
666,0
668,1
670,0
673,1
676,0
678,1
692,0
693,1
694,0
695,0
696,1
698,0
701,0
703,0
707,0
708,1
711,1
715,0
718,0
722,0
723,1
733,1
741,0
742,1
743,1
747,0
749,1
750,0
756,0
757,0
760,0
764,1
765,1
766,1
768,0
769,0
771,0
772,0
776,0
778,0
780,0
785,0
789,0
792,1
793,0
811,0
813,0
816,1
821,1
824,0
825,1
827,1
830,0
831,0
839,0
844,0
847,1
850,0
854,1
855,0
858,0
861,0
862,0
865,1
869,0
879,0
880,1
887,0
889,1
897,0
900,0
901,0
904,0
908,0
909,1
910,0
913,0
914,1
917,0
918,0
920,0
922,1
924,0
925,0
927,1
933,0
937,0
943,0
949,0
950,0
954,1
966,0
967,0
969,0
970,0
973,1
975,0
980,0
988,0
989,1
995,0
1000,0
1003,0
1007,0
1011,0
1012,1
1013,0
1014,1
1016,0
1019,0
1025,0
1027,1
1028,0
1030,0
1033,0
1034,0
1039,1
1046,1
1047,0
1053,0
1055,0
1056,0
1059,0
1060,0
1063,0
1064,0
1068,0
1076,0
1086,0
1087,0
1089,0
1092,0
1095,0
1096,0
1097,0
1100,1
1101,0
1107,0
1108,0
1111,0
1115,1
1116,0
1121,0
1125,0
1127,0
1131,0
1133,0
1135,0
1137,1
1140,0
1144,0
1147,1
1148,0
1150,1
1158,0
1159,0
1161,1
1163,0
1165,0
1169,0
1171,0
1172,0
1176,1
1180,0
1184,0
1186,0
1187,0
1192,1
1193,0
1194,1
1197,1
1200,1
1205,1
1210,0
1216,0
1220,1
1231,1
1233,0
1246,0
1247,0
1248,0
1255,1
1256,0
1257,1
1258,1
1260,0
1261,1
1265,0
1266,1
1268,0
1274,1
1281,0
1285,1
1286,0
1291,0
1292,0
1295,0
1299,1
1306,1
1310,1
1311,0
1313,0
1314,0
1322,1
1323,0
1325,1
1329,0
1330,0
1333,1
1336,1
1339,1
1342,0
1344,0
1355,0
1357,0
1358,1
1359,0
1364,0
1366,1
1367,0
1370,1
1373,0
