posi1,nega1,posi2,nega2,neu2,label
0.9991635084152222,0.0,0.0,0.0,0.9043066501617432,1
0.0,0.9969011545181274,0.0,0.9452294707298279,0.0,0
0.0,0.9744186997413635,0.0,0.5343461036682129,0.0,1
0.0,0.9991227984428406,0.0,0.9396318197250366,0.0,1
0.0,0.8332115411758423,0.0,0.0,0.6180907487869263,0
0.0,0.9906858801841736,0.0,0.0,0.9772710204124451,1
0.0,0.999679446220398,0.0,0.9795396327972412,0.0,1
0.0,0.9823225140571594,0.0,0.0,0.9734691977500916,1
0.0,0.9966082572937012,0.0,0.5921457409858704,0.0,1
0.0,0.9780406951904297,0.0,0.0,0.5753127932548523,0
0.0,0.9959349632263184,0.0,0.0,0.7701785564422607,0
0.9994321465492249,0.0,0.0,0.0,0.9615039825439453,1
0.0,0.9994564652442932,0.0,0.9669883251190186,0.0,0
0.0,0.9977723956108093,0.0,0.6983305215835571,0.0,1
0.0,0.9899730682373047,0.0,0.0,0.9460428953170776,1
0.0,0.9893020987510681,0.0,0.9754768013954163,0.0,1
0.0,0.9909108281135559,0.0,0.9331680536270142,0.0,1
0.0,0.999359667301178,0.0,0.0,0.9587689638137817,0
0.0,0.9996386766433716,0.0,0.965370237827301,0.0,0
0.0,0.9875051975250244,0.0,0.0,0.9784825444221497,0
0.0,0.9997707009315491,0.0,0.9075546860694885,0.0,0
0.9687369465827942,0.0,0.6635246872901917,0.0,0.0,0
0.0,0.9991705417633057,0.0,0.7580899000167847,0.0,0
0.0,0.9988232254981995,0.0,0.4507262706756592,0.0,0
0.0,0.9931665062904358,0.0,0.0,0.7127892374992371,0
0.0,0.9910394549369812,0.0,0.0,0.5505346059799194,0
0.9990235567092896,0.0,0.0,0.0,0.5401672124862671,1
0.0,0.996274471282959,0.0,0.910933792591095,0.0,0
0.0,0.9984856247901917,0.0,0.9848025441169739,0.0,0
0.0,0.9993102550506592,0.0,0.0,0.5449170470237732,0
0.0,0.9993582367897034,0.0,0.7379510998725891,0.0,1
0.0,0.9569856524467468,0.0,0.0,0.9565489292144775,1
0.0,0.9859667420387268,0.0,0.8463117480278015,0.0,1
0.5792231559753418,0.0,0.0,0.0,0.8103985786437988,0
0.0,0.9971381425857544,0.0,0.941984236240387,0.0,1
0.0,0.980351984500885,0.0,0.632066011428833,0.0,0
0.0,0.712416410446167,0.0,0.0,0.8216157555580139,0
0.9948775768280029,0.0,0.0,0.0,0.6298536062240601,0
0.0,0.998426079750061,0.0,0.9666047692298889,0.0,0
0.9899711012840271,0.0,0.0,0.0,0.9406067728996277,0
0.0,0.9885118007659912,0.0,0.9168711304664612,0.0,1
0.0,0.9568865299224854,0.0,0.0,0.5525679588317871,0
0.0,0.9957661628723145,0.0,0.0,0.5914482474327087,1
0.0,0.9636863470077515,0.0,0.0,0.8263331651687622,0
0.0,0.9990966320037842,0.0,0.0,0.9756819605827332,1
0.0,0.9977803826332092,0.0,0.9514816999435425,0.0,0
0.0,0.946739912033081,0.0,0.0,0.7456249594688416,1
0.0,0.9911154508590698,0.0,0.0,0.9639339447021484,1
0.0,0.9958168864250183,0.0,0.0,0.798592746257782,0
0.0,0.9992042183876038,0.0,0.9833801984786987,0.0,0
0.9996613264083862,0.0,0.9927096366882324,0.0,0.0,0
0.0,0.9919806718826294,0.0,0.0,0.8857859969139099,1
0.0,0.9772099852561951,0.0,0.0,0.5337517857551575,1
0.0,0.9808805584907532,0.0,0.0,0.9634462594985962,1
0.0,0.9965240359306335,0.0,0.0,0.9173160195350647,1
0.0,0.9712132811546326,0.0,0.0,0.9748493432998657,1
